kepoi_name,koi_period,koi_prad,koi_depth,planet_prob
K04499.01,5.19898615,1.04,136.8,0.9976021194863286
K00353.01,152.1060435,11.58,3688.3,0.9975928744746915
K02691.01,97.4463194,3.05,2141.1,0.997532766555737
K02971.02,31.9533679,1.65,106.1,0.9975067783939857
K04530.01,12.6362048,1.1,124.0,0.9974534468670708
K03042.01,31.0259489,1.91,385.4,0.9972799810663692
K01357.01,3.014330766,2.87,975.3,0.9972297847856665
K03397.01,35.8754482,2.35,366.7,0.9972156349735257
K03310.01,20.5512722,1.64,191.2,0.9971914887925203
K02899.01,5.77207177,1.54,328.5,0.9970295901699338
K04288.02,9.08745206,0.73,35.1,0.9969827423987742
K01095.01,51.59809554,6.57,5869.2,0.9969688754596073
K04497.01,6.83006228,1.09,187.4,0.9969647935102148
K04358.01,106.957467,2.4,539.6,0.9969066397635958
K06246.01,9.13315062,1.48,231.2,0.9968391862551965
K07759.01,6.2253374,1.92,108.6,0.9968246914830736
K00896.03,28.8672107,1.51,347.1,0.9967475611110971
K02926.05,75.731195,3.47,2496.0,0.9967449678824238
K00211.01,124.03589939,11.13,7690.0,0.9967386771513354
K00415.01,166.7876551,7.03,4764.2,0.9966666666666667
K04442.01,13.9482197,2.53,119.4,0.9966666666666667
K01750.02,2.53742164,0.93,104.5,0.9966666666666667
K01271.01,162.0479502,11.52,4840.5,0.996598855000373
K01731.01,2.59488443,2.36,592.2,0.9965452539848919
K00268.01,110.3783828,3.02,489.8,0.9964544530908231
K04208.01,3.05772668,1.23,311.0,0.9963044212579786
K02422.02,57.3888262,1.88,344.4,0.9962867882415936
K03068.01,3.91679553,0.85,161.3,0.9962693782879074
K03425.03,7.64370363,1.85,70.9,0.9962116864695387
K02064.01,6.31219171,2.17,403.7,0.9960727432077124
K03483.01,82.331756,2.08,283.2,0.9960549442156003
K04647.02,12.008552,2.08,76.6,0.9960449897750512
K06130.01,1.54287434,1.05,401.4,0.9958664913818289
K04647.01,37.9043889,1.97,98.2,0.9958612534360805
K04509.01,12.003678,0.97,281.7,0.9958525745743617
K03395.01,10.00506974,1.11,143.3,0.9957867802004042
K02770.01,205.385912,2.11,1248.7,0.9957651275937884
K02373.01,147.281212,2.28,452.8,0.9957583099549435
K01066.01,5.714817603,9.29,12294.8,0.99571718922483
K05426.01,124.887214,1.78,176.5,0.9956969470848247
K02914.01,21.1181653,2.89,112.7,0.9956908662072105
K00191.03,0.708621057,1.2,187.5,0.9954945832134618
K02294.01,131.485184,3.03,557.8,0.9954741454864154
K04374.01,3.70386741,0.86,125.7,0.9954659655273151
K07638.01,25.0032023,1.47,64.1,0.99546219350591
K02572.01,6.37705295,2.15,502.8,0.9954577449670211
K01510.01,0.839961456,1.63,492.9,0.9954491921968528
K03460.01,62.596544,2.25,223.1,0.9953869164176505
K05458.01,56.648588,2.19,648.9,0.9953247270225787
K01962.01,32.85862571,2.31,162.8,0.995255787898613
K05605.01,9.011888,7.04,987.6,0.9952253020377038
K00317.02,11.505879,0.99,49.8,0.9951596363319669
K01458.01,8.98128472,7.19,4924.0,0.9951525831548717
K00212.01,5.69590202,6.61,4921.1,0.9951429648481774
K04626.01,91.95723,2.66,308.4,0.9950388255544309
K04329.01,17.8007815,1.02,44.5,0.9949984437362502
K04680.01,54.0812235,1.54,411.1,0.9949180341876823
K00992.02,4.57834367,1.44,140.7,0.9948917473762041
K03271.02,7.41834569,1.12,234.0,0.9948382504700718
K03117.01,6.06664931,0.87,65.3,0.9947234688747576
K02516.01,2.81043228,1.43,47.4,0.9946819527738948
K02862.01,24.5752524,1.64,1003.4,0.9946817525488342
K02534.02,5.42204257,1.39,79.1,0.9945802858562952
K00797.01,10.181584004,7.73,5741.1,0.9944826193960756
K07375.01,4.84847245,1.51,554.7,0.9943708101329151
K02298.01,16.6671415,0.7,175.0,0.9943533292480371
K03264.01,13.0151826,1.36,331.6,0.9942821670905417
K04768.01,3.43633133,1.44,473.5,0.994257895908483
K03114.01,7.49133777,1.01,34.5,0.994228015045713
K00416.03,9.74765878,0.78,102.0,0.9942055725944912
K02732.04,24.5607107,1.13,55.2,0.994203316731247
K04914.01,5.47455167,1.4,73.2,0.994171200864794
K04466.01,154.674369,2.29,435.8,0.9941167591778545
K04287.01,13.12297275,1.29,43.7,0.9940653740272609
K01816.01,10.240611361,3.9,2958.0,0.9939374594795514
K03203.01,96.81647,3.19,164.7,0.993911017300073
K04963.01,59.4037839,1.65,123.5,0.9938167184231643
K03029.02,6.34724702,1.35,159.8,0.9937569178857478
K04129.01,2.31482311,0.69,58.6,0.9937461560836679
K00815.01,34.84398644,7.61,4523.6,0.9937452373480948
K04205.01,1.166960319,0.88,97.8,0.993377491479627
K02957.01,4.64490141,0.76,106.4,0.9932000899438286
K03248.01,6.91261536,0.64,34.4,0.9930605722084027
K03408.01,65.427645,1.65,319.0,0.9928801065406236
K02853.01,1.407020118,1.12,181.9,0.9928703379541199
K04257.01,41.6757509,2.1,142.0,0.9928702225461276
K04334.01,2.44232399,1.1,229.0,0.9928691768010564
K02840.02,7.4464635,0.77,78.0,0.9925994741454867
K04633.01,11.6933447,1.12,66.9,0.9925994741454867
K01602.02,3.03359398,1.55,95.6,0.9925357300373961
K04353.01,17.8075656,3.92,1511.0,0.9924703333456335
K04762.01,11.56722589,1.29,373.7,0.9924445574116144
K04549.01,2.0481582,1.16,183.3,0.9924433594586491
K02571.01,0.82628442,0.96,134.9,0.9922255132917573
K04772.01,3.38080537,1.69,200.9,0.9921692680076789
K00974.01,53.5057611,2.52,195.6,0.9921514910593108
K04242.01,145.786556,1.82,378.0,0.9919444402522192
K03214.02,25.0901574,1.35,37.7,0.9918508643706329
K03202.01,92.461135,2.86,122.4,0.99179408999073
K03389.01,29.7681831,3.98,159.9,0.9916730360237735
K04649.01,3.38419892,1.2,228.2,0.9916716323533558
K03168.01,56.3479517,1.06,43.6,0.9916565733303099
K03770.01,2.60720833,7.31,3149.7,0.9916353772572116
K00728.01,7.189379172,11.94,8126.4,0.9916146833625343
K05663.01,140.884533,1.52,158.0,0.9916124994660955
K04829.01,7.630545,2.26,364.9,0.9916037466306538
K06966.01,8.47484677,1.35,217.8,0.9915935817383583
K03341.02,11.5474983,1.48,115.5,0.9915366637452526
K02480.01,0.66682654,1.49,511.6,0.9915270627775858
K04710.01,9.4527721,1.3,197.3,0.9914622314182588
K02859.05,5.43103616,0.66,66.8,0.9914354557446088
K00732.02,3.29534567,1.23,141.9,0.9912428802984361
K03083.01,10.18318233,0.79,51.5,0.991235389253289
K01103.01,90.1240507,7.12,3020.3,0.991228807758511
K03111.02,4.32848303,0.66,35.5,0.9912261428019054
K05817.01,113.083522,1.59,130.7,0.9910147781689876
K04586.01,75.2116373,2.83,362.6,0.9909382200154255
K00902.01,83.92494032,4.78,7958.7,0.990900616144613
K04456.01,7.4299322,1.81,164.9,0.9908992249922528
K02759.01,1.07808492,1.01,155.6,0.9908471476265205
K02433.04,27.9040511,2.19,300.2,0.9908375184085216
K00469.01,10.32906563,6.17,2309.8,0.9908135370676178
K05155.01,230.180357,7.57,3689.3,0.990782506138972
K03689.01,5.24088367,12.74,8531.2,0.9907332823366911
K00914.01,3.886655224,1.87,581.6,0.9906965911899465
K03128.01,21.2360024,2.62,104.4,0.9905082304989755
K04495.01,5.93218209,1.39,205.3,0.9904560327198364
K01527.01,192.667139,3.64,1148.3,0.9904363401688572
K07002.01,4.83014159,1.3,192.0,0.9904017280325409
K03050.01,1.242639742,1.02,159.3,0.9903331343968722
K00151.01,13.4471791,5.24,1428.2,0.9903277581833059
K02248.03,0.76196247,1.08,190.2,0.9901224694454074
K03463.01,32.5474295,1.42,157.1,0.9900692875043605
K03029.01,18.9763286,2.24,329.8,0.9899341756351022
K02971.01,6.09595681,1.26,65.7,0.9898613332966685
K04508.01,2.49915311,1.02,179.2,0.9897266613317476
K02689.01,165.3447044,6.98,4899.0,0.9896333195598197
K03481.01,32.715906,3.68,135.7,0.9896277699856232
K06137.01,12.4970599,1.44,180.0,0.9895837236522061
K02657.01,5.22402436,0.58,48.1,0.9895718065558492
K04557.01,5.75651958,0.83,65.3,0.989444922116509
K03301.01,20.7106368,1.12,142.5,0.9894004792077541
K02486.01,4.267961416,1.42,127.4,0.9893512986143058
K04627.01,7.51731745,1.19,170.7,0.9892907876888398
K04551.01,14.7179342,1.25,132.3,0.9892670172363425
K04391.01,49.4746966,1.62,291.0,0.9891695429629065
K03206.01,15.1516409,1.38,191.5,0.9891232829522456
K01947.01,6.422943288,1.66,261.4,0.9889551124219405
K04427.01,147.661729,1.59,1087.8,0.9888310387179227
K03401.01,17.9559673,1.96,137.0,0.9887907600837843
K04346.01,6.39269778,1.21,174.3,0.9887411441487596
K01411.01,305.0762469,7.82,4042.8,0.9885371167548261
K03909.01,247.891041,4.74,956.6,0.9884984466831558
K02174.01,6.69332825,2.44,781.8,0.9884355812004242
K01310.02,144.688915,3.33,397.1,0.9883493975194155
K03368.01,10.08535311,1.45,222.5,0.9882814107300859
K04709.01,3.70858595,1.33,305.4,0.987889607699884
K04833.01,4.31724247,1.01,59.0,0.9878304854464507
K04714.01,2.049602348,1.08,186.1,0.9878227094310282
K04526.02,11.8187288,2.09,249.0,0.9875800714939286
K03420.01,5.77451117,1.87,156.3,0.9875627285924016
K01963.01,12.89623554,2.55,426.6,0.9875473252132726
K03470.01,15.0617835,1.61,196.6,0.9874908130531472
K03823.01,202.1168173,5.8,2701.2,0.987426115219982
K02453.01,1.530515205,0.84,659.7,0.9872997989051919
K02158.02,6.68231249,2.09,48.7,0.9872929381996202
K00750.02,5.04413987,1.18,172.0,0.9871425778176132
K04614.01,6.4546845,1.38,69.9,0.9871397901412018
K04558.01,8.8233996,1.13,104.6,0.9871298436518221
K04588.01,7.53737498,0.93,41.1,0.9870072806747847
K05476.01,148.179343,2.52,466.6,0.9869868362700747
K02840.01,3.67936863,0.92,85.9,0.9867672894078842
K02592.01,175.603366,2.87,506.8,0.9867223348120594
K04022.01,4.85819429,2.04,76.3,0.9867105990300274
K05854.01,240.57135,2.93,921.5,0.986585141574373
K03017.01,2.46288834,0.67,47.4,0.9864539382713308
K05435.01,15.9961296,1.71,500.7,0.9864282140624698
K04366.01,0.762950224,1.0,187.3,0.986377641208364
K03196.02,6.88297756,0.77,30.4,0.9863012725640493
K03309.01,71.05457555,5.91,4853.2,0.9862978759490915
K04120.01,110.461746,1.93,331.2,0.9862635181664656
K00531.01,3.687469832,5.78,5057.6,0.9862591701436749
K04524.03,3.33930957,1.2,91.3,0.9862225823566338
K06765.01,13.05609,1.3,170.8,0.9861082596349926
K02232.02,12.834857,1.73,293.9,0.986048127563649
K04881.01,5.6795377,1.16,52.0,0.9860426113381386
