kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_kepmag
2307206,K03549.01,,FALSE POSITIVE,204.0329342,253.536626,17.5623,411374.0,57.35,0.49,884.9,0.0,5553.0,4.577,0.806,15.734
7025540,K03550.01,,FALSE POSITIVE,2.148219541,132.76673,2.94091,457844.0,49.6,0.424,619.8,1055.0,4694.0,4.6,0.672,15.783
7620844,K03551.01,,FALSE POSITIVE,58.621578824,178.5674958,8.52961,142951.0,40.43,0.896,1887.7,23.0,5232.0,4.554,0.725,15.161
6677267,K03622.01,,FALSE POSITIVE,3.125821128,134.479684,2.2163,5025.4,110.58,1.269,245.2,429.0,6137.0,3.705,2.852,12.77
7732791,K03623.01,,FALSE POSITIVE,1.032068851,131.8383,2.1344,121993.0,44.35,1.014,140.0,505.0,4387.0,4.587,0.711,16.177
5736801,K07739.01,,FALSE POSITIVE,6.6751871,137.4528,2.372,178.3,1.09,0.251,7.0,168.0,5774.0,4.567,0.818,15.554
8177798,K03624.01,,FALSE POSITIVE,1.450205839,131.985523,3.6373,25883.7,92.78,1.236,419.0,246.0,7564.0,4.093,1.893,13.91
10489521,K03625.01,,FALSE POSITIVE,3.224486463,131.855925,4.61686,403734.0,79.08,0.421,1905.1,274.0,6389.0,4.331,1.16,16.169
12643582,K03626.01,,FALSE POSITIVE,44.14579777,167.392037,4.088,224228.0,62.24,0.864,434.9,16.0,5876.0,4.492,0.896,16.442
9328641,K03400.01,,FALSE POSITIVE,33.3239576,132.58989,37.217,2012.1,2.55,0.47,173.7,41.0,5192.0,4.707,0.555,15.213
9966219,K03401.01,,CANDIDATE,17.9559673,139.0347,6.237,137.0,1.96,0.979,11.9,60.0,5641.0,4.258,1.195,14.388
5991070,K07756.01,,FALSE POSITIVE,0.94102954,131.9021,4.415,34.5,1.41,0.119,13.3,1434.0,5766.0,3.783,2.409,13.134
5531953,K01681.02,Kepler-1984 b,CONFIRMED,1.992812339,131.70565,2.066,314.8,6.81,1.127,16.8,643.0,3638.0,4.844,0.42,15.855
3757778,K03402.01,,FALSE POSITIVE,36.514374043,163.794463,6.48255,111620.0,33.27,0.133,1701.1,26.0,5811.0,4.465,1.0,15.423
11754430,K03403.01,Kepler-1488 b,CONFIRMED,39.818832,166.65072,10.757,199.1,2.23,0.6,29.4,27.0,5710.0,4.073,1.524,13.102
9995771,K03470.02,Kepler-1509 b,CONFIRMED,25.4337864,143.1302,6.514,302.0,2.0,0.232,14.3,43.0,5806.0,4.321,1.158,15.386
11875511,K03471.01,,FALSE POSITIVE,67.451045,151.96756,8.9387,7062.8,36.7,1.01,205.4,20.0,4847.0,3.726,2.191,13.342
6231721,K07773.01,,CANDIDATE,2.69339974,131.9006,1.936,147.5,1.04,0.279,8.7,497.0,5355.0,4.511,0.863,15.673
9536108,K03472.01,,CANDIDATE,10.43003118,133.2962,2.029,120.0,1.14,0.283,10.6,130.0,6277.0,4.449,1.031,14.412
8905246,K03473.01,,CANDIDATE,27.63714708,143.93342,1.7277,735.5,6.96,0.669,27.4,47.0,5214.0,3.766,2.427,13.851
5213230,K03474.01,Kepler-1923 b,CONFIRMED,52.6095103,158.6253,8.202,203.7,1.83,0.102,15.3,27.0,5881.0,4.259,1.294,14.192
3326377,K01830.02,Kepler-967 c,CONFIRMED,198.7106251,156.51819,8.638,2094.8,3.56,0.026,62.1,8.0,5180.0,4.548,0.8,14.443
6233466,K03552.01,,FALSE POSITIVE,15.873380595,143.859941,8.0429,208362.0,630.53,3.454,978.2,48.0,5622.0,3.907,1.895,14.679
5460434,K07729.01,,CANDIDATE,50.563697,145.8658,5.381,50.5,1.57,0.779,6.8,14.0,6759.0,4.018,2.022,10.948
11249624,K03553.01,,FALSE POSITIVE,65.583665567,182.6493381,5.01216,242398.0,41.22,0.72,1649.5,20.0,5516.0,4.65,0.666,15.743
6426592,K03554.01,,FALSE POSITIVE,394.67816267,346.1399939,6.05443,253376.0,52.16,0.708,1500.7,0.0,5780.0,4.505,0.83,15.207
8491745,K03555.01,,FALSE POSITIVE,111.31980522,226.648705,23.0078,62704.9,63.68,0.234,3433.7,12.0,5022.0,3.562,2.58,12.439
3970117,K03556.01,,FALSE POSITIVE,110.29512684,235.750948,16.5339,176336.0,37.88,0.248,2084.3,10.0,5753.0,4.503,0.895,15.258
11147814,K03334.01,,FALSE POSITIVE,95.178317934,224.596785,3.60125,128575.0,28.75,0.761,2279.1,15.0,4523.0,4.615,0.653,14.401
10922659,K03335.01,Kepler-1916 b,CONFIRMED,31.2543238,155.047,5.662,438.0,2.29,0.019,14.7,39.0,6246.0,4.433,1.092,15.82
8892720,K03336.01,,FALSE POSITIVE,61.4911479,163.633663,9.745,58702.9,22.76,0.681,1421.7,20.0,5830.0,4.54,0.876,15.523
6021275,K00284.04,Kepler-132 e,CONFIRMED,110.2867031,239.22128,4.427,145.3,1.41,0.675,16.4,8.0,5931.0,4.322,1.101,11.818
7869917,K01525.02,Kepler-880 c,CONFIRMED,11.8061737,138.2641,4.472,88.1,2.87,0.905,10.1,107.0,6900.0,3.843,2.599,12.082
11754430,K03403.02,Kepler-1488 c,CONFIRMED,6.15828666,135.4969,6.329,57.7,1.2,0.595,16.4,165.0,5710.0,4.073,1.524,13.102
